(140.29999999999998, 237.89999999999998, 48.8)
(140.29999999999998, 244.0, 48.8)
(140.29999999999998, 250.1, 48.8)
(140.29999999999998, 256.2, 48.8)
(140.29999999999998, 262.3, 48.8)
(140.29999999999998, 268.4, 48.8)
(140.29999999999998, 274.5, 48.8)
(140.29999999999998, 280.59999999999997, 48.8)
(140.29999999999998, 286.7, 48.8)
(140.29999999999998, 292.79999999999995, 48.8)
(146.39999999999998, 219.6, 48.8)
(146.39999999999998, 225.7, 48.8)
(146.39999999999998, 231.79999999999998, 48.8)
(146.39999999999998, 237.89999999999998, 48.8)
(146.39999999999998, 244.0, 48.8)
(146.39999999999998, 250.1, 48.8)
(146.39999999999998, 256.2, 48.8)
(146.39999999999998, 262.3, 48.8)
(146.39999999999998, 268.4, 48.8)
(146.39999999999998, 274.5, 48.8)
(146.39999999999998, 280.59999999999997, 48.8)
(146.39999999999998, 286.7, 48.8)
(146.39999999999998, 292.79999999999995, 48.8)
(152.5, 219.6, 48.8)
(152.5, 225.7, 48.8)
(152.5, 231.79999999999998, 48.8)
(152.5, 237.89999999999998, 48.8)
(152.5, 244.0, 48.8)
(152.5, 250.1, 48.8)
(152.5, 256.2, 48.8)
(152.5, 262.3, 48.8)
(152.5, 268.4, 48.8)
(152.5, 274.5, 48.8)
(152.5, 280.59999999999997, 48.8)
(152.5, 286.7, 48.8)
(152.5, 292.79999999999995, 48.8)
(158.6, 225.7, 48.8)
(158.6, 231.79999999999998, 48.8)
(158.6, 237.89999999999998, 48.8)
(158.6, 244.0, 48.8)
(158.6, 250.1, 48.8)
(158.6, 256.2, 48.8)
(158.6, 262.3, 48.8)
(158.6, 268.4, 48.8)
(158.6, 274.5, 48.8)
(158.6, 280.59999999999997, 48.8)
(158.6, 286.7, 48.8)
(164.7, 231.79999999999998, 48.8)
(164.7, 237.89999999999998, 48.8)
(164.7, 244.0, 48.8)
(164.7, 250.1, 48.8)
(164.7, 256.2, 48.8)
(164.7, 262.3, 48.8)
(164.7, 268.4, 48.8)
(164.7, 274.5, 48.8)
(170.79999999999998, 244.0, 48.8)
(170.79999999999998, 250.1, 48.8)
(170.79999999999998, 256.2, 48.8)
(170.79999999999998, 262.3, 48.8)
(170.79999999999998, 268.4, 48.8)
(97.6, 323.29999999999995, 54.9)
(97.6, 329.4, 54.9)
(103.69999999999999, 274.5, 54.9)
(103.69999999999999, 280.59999999999997, 54.9)
(103.69999999999999, 286.7, 54.9)
(103.69999999999999, 311.09999999999997, 54.9)
(103.69999999999999, 317.2, 54.9)
(103.69999999999999, 323.29999999999995, 54.9)
(103.69999999999999, 329.4, 54.9)
(103.69999999999999, 335.5, 54.9)
(109.8, 256.2, 54.9)
(109.8, 262.3, 54.9)
(109.8, 268.4, 54.9)
(109.8, 274.5, 54.9)
(109.8, 280.59999999999997, 54.9)
(109.8, 286.7, 54.9)
(109.8, 292.79999999999995, 54.9)
(109.8, 298.9, 54.9)
(109.8, 305.0, 54.9)
(109.8, 311.09999999999997, 54.9)
(109.8, 317.2, 54.9)
(109.8, 323.29999999999995, 54.9)
(109.8, 329.4, 54.9)
(109.8, 335.5, 54.9)
(115.89999999999999, 225.7, 54.9)
(115.89999999999999, 231.79999999999998, 54.9)
(115.89999999999999, 237.89999999999998, 54.9)
(115.89999999999999, 244.0, 54.9)
(115.89999999999999, 250.1, 54.9)
(115.89999999999999, 256.2, 54.9)
(115.89999999999999, 262.3, 54.9)
(115.89999999999999, 268.4, 54.9)
(115.89999999999999, 274.5, 54.9)
(115.89999999999999, 280.59999999999997, 54.9)
(115.89999999999999, 286.7, 54.9)
(115.89999999999999, 292.79999999999995, 54.9)
(115.89999999999999, 298.9, 54.9)
(115.89999999999999, 305.0, 54.9)
(115.89999999999999, 311.09999999999997, 54.9)
(115.89999999999999, 317.2, 54.9)
(115.89999999999999, 323.29999999999995, 54.9)
(115.89999999999999, 329.4, 54.9)
(115.89999999999999, 335.5, 54.9)
(122.0, 219.6, 54.9)
(122.0, 225.7, 54.9)
(122.0, 231.79999999999998, 54.9)
(122.0, 237.89999999999998, 54.9)
(122.0, 244.0, 54.9)
(122.0, 250.1, 54.9)
(122.0, 256.2, 54.9)
(122.0, 262.3, 54.9)
(122.0, 268.4, 54.9)
(122.0, 274.5, 54.9)
(122.0, 280.59999999999997, 54.9)
(122.0, 286.7, 54.9)
(122.0, 292.79999999999995, 54.9)
(122.0, 298.9, 54.9)
(122.0, 305.0, 54.9)
(122.0, 311.09999999999997, 54.9)
(122.0, 317.2, 54.9)
(122.0, 323.29999999999995, 54.9)
(122.0, 329.4, 54.9)
(122.0, 335.5, 54.9)
(128.1, 219.6, 54.9)
(128.1, 225.7, 54.9)
(128.1, 231.79999999999998, 54.9)
(128.1, 237.89999999999998, 54.9)
(128.1, 244.0, 54.9)
(128.1, 250.1, 54.9)
(128.1, 256.2, 54.9)
(128.1, 262.3, 54.9)
(128.1, 268.4, 54.9)
(128.1, 274.5, 54.9)
(128.1, 280.59999999999997, 54.9)
(128.1, 286.7, 54.9)
(128.1, 292.79999999999995, 54.9)
(128.1, 298.9, 54.9)
(128.1, 305.0, 54.9)
(128.1, 311.09999999999997, 54.9)
(128.1, 317.2, 54.9)
(128.1, 323.29999999999995, 54.9)
(128.1, 329.4, 54.9)
(134.2, 219.6, 54.9)
(134.2, 225.7, 54.9)
(134.2, 231.79999999999998, 54.9)
(134.2, 237.89999999999998, 54.9)
(134.2, 244.0, 54.9)
(134.2, 250.1, 54.9)
(134.2, 256.2, 54.9)
(134.2, 262.3, 54.9)
(134.2, 268.4, 54.9)
